id,time,numPubs,sumJaccard,sumAdamic,sumInstituteSim,sumClusteringCoef,sumSimMesh,sumCommonFriend,sumCoauthor,dead
achmad_s_9514951_6,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
achmad_s_9514951_6,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
achmad_s_9514951_6,3,20,0.382057,2.549361,1.000000,1.267831,0.039547,5.090909,19.181818,0
achmad_s_9514951_6,4,12,0.497980,2.759247,1.000000,1.474315,0.056289,6.222222,20.222222,0
achmad_s_9514951_6,5,9,0.456343,2.306794,0.714286,1.539889,0.056555,4.857143,17.857143,0
achmad_s_9514951_6,6,4,0.600000,2.164042,1.000000,2.000000,0.132143,3.000000,8.000000,0
achmad_s_9514951_6,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
adachi_t_12727209_5,0,36,0.768769,5.124421,1.000000,1.855207,0.029863,15.000000,36.125000,0
adachi_t_12727209_5,1,16,0.713071,4.995411,1.000000,1.823128,0.057721,15.000000,36.937500,0
adachi_t_12727209_5,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
adachi_w_3282486_3,0,4,0.512500,1.935806,1.000000,1.818182,0.084259,3.000000,9.750000,0
adachi_w_3282486_3,1,5,0.586667,2.291410,1.000000,1.848352,0.038172,4.000000,11.800000,0
adachi_w_3282486_3,2,8,0.721212,3.236282,1.000000,1.892430,0.040720,7.000000,17.000000,0
adachi_w_3282486_3,3,30,0.481861,3.034712,1.000000,1.452254,0.015679,7.272727,23.454545,0
adachi_w_3282486_3,4,15,0.632035,3.497934,1.000000,1.654752,0.037508,7.818182,20.636364,0
adachi_w_3282486_3,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
adachi_w_7796607_3,0,14,0.570912,3.112546,1.000000,1.759815,0.030560,8.000000,23.444444,0
adachi_w_7796607_3,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adachi_w_7796607_3,2,7,0.541217,2.594574,1.000000,1.715296,0.068198,6.000000,20.714286,0
adachi_w_7796607_3,3,29,0.295162,3.313302,0.597826,1.105187,0.017340,8.086957,35.086957,0
adachi_w_7796607_3,4,15,0.440476,3.293074,1.000000,1.485366,0.034787,7.000000,22.785714,0
adachi_w_7796607_3,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
adams_l_8886167_1,0,3,0.444444,1.627876,1.000000,1.800000,0.102941,2.000000,6.666667,0
